vectorizer,vocabulary_size,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score
CountVectorizer,5541,0.6338797814207651,0.6872427983539094,0.7422222222222222,0.7136752136752136,0.6016075650118203
CountVectorizer + strip_accents + lowercase,5523,0.6325136612021858,0.6865979381443299,0.74,0.7122994652406417,0.6004964539007092
CountVectorizer + strip_accents + lowercase + stop_words,5389,0.6366120218579235,0.6854838709677419,0.7555555555555555,0.7188160676532769,0.6011820330969266
"CountVectorizer + strip_accents + lowercase + stop_words + {min,max}_df",283,0.6229508196721312,0.6754032258064516,0.7444444444444445,0.7082452431289642,0.5867612293144209
"CountVectorizer + strip_accents + lowercase + stop_words + {min,max}_df + ngrams",291,0.6270491803278688,0.6824742268041237,0.7355555555555555,0.7080213903743315,0.5947281323877068
"CountVectorizer + strip_accents + lowercase + stop_words + {min,max}_df + ngrams + PorterStemmer",294,0.6256830601092896,0.6795918367346939,0.74,0.7085106382978723,0.5916312056737589
"CountVectorizer + strip_accents + lowercase + stop_words + {min,max}_df + ngrams + WordNetLemmatizer",286,0.6270491803278688,0.6809815950920245,0.74,0.7092651757188498,0.593404255319149
"CountVectorizer + strip_accents + lowercase + stop_words + {min,max}_df + ngrams + SpaCy",248,0.6270491803278688,0.672514619883041,0.7666666666666667,0.7165109034267912,0.5854609929078014
"TfidfVectorizer + strip_accents + lowercase + stop_words + {min,max}_df + ngrams + SpaCy",248,0.6297814207650273,0.6567425569176882,0.8333333333333334,0.7345739471106758,0.5691489361702129
